JUMLAH SARANA PRASARANA (ASET),,,,,,,,,,,,,,
KARTU INVENTARIS BARANG (KIB B) PERALATAN DAN MESIN,,,,,,,,,,,,,,
Nomor,Kode Barang,Jenis Barang,Nomor Register,Merk/Type,Ukuran/CC,Bahan,Tahun Pembelian,Nomor Pabrik,,,,Asal usul,Harga (ribuanRp),Keterangan
,,,,,,,,Rangka,Mesin,Polisi,BPKB,,,
60,02.06.02.06.021,CAMERA VIDEO,2,,,,2016,,,,,PEMBELIAN,"69,850.00",
61,02.06.03.02.001,P.C UNIT/KOMPUTER PC,0001 s/d 0002,PHILIPS/-,,PLASTIK,2016,,,,,PEMBELIAN,"14,968.20",
62,02.06.03.02.001,P.C UNIT/KOMPUTER PC,3,LG/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.10",
63,02.06.03.02.001,P.C UNIT/KOMPUTER PC,4,PHILIPS/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.10",
64,02.06.03.02.001,P.C UNIT/KOMPUTER PC,5,PHILIPS/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.10",KOMPUTER EDITING
65,02.06.03.02.001,P.C UNIT/KOMPUTER PC,0006 s/d 0008,LG/-,,PLASTIK,2016,,,,,PEMBELIAN,"22,452.30",KOMPUTER EDITING
66,02.06.03.02.001,P.C UNIT/KOMPUTER PC,9,LG/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.10",KOMPUTER EDITING
67,02.06.03.02.001,P.C UNIT/KOMPUTER PC,10,PHILIPS/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.10",KOMPUTER EDITING
68,02.06.03.02.001,P.C UNIT/KOMPUTER PC,22,,,,2016,,,,,PEMBELIAN,"7,484.19",
69,02.06.03.02.001,P.C UNIT/KOMPUTER PC,23,LG/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.19",
70,02.06.03.02.002,LAP TOP,0001 s/d 0004,,,,2016,,,,,PEMBELIAN,"29,990.00",
71,02.06.03.02.002,LAP TOP,13,,,,2016,,,,,PEMBELIAN,"7,920.00",
72,02.06.03.02.002,LAP TOP,14,,,,2016,,,,,PEMBELIAN,"7,920.00",
73,02.06.03.02.005,PERSONAL KOMPUTER LAIN-LAIN,1,,,,2016,,,,,PEMBELIAN,"34,810.81",KOMPUTER EDITING
74,02.06.03.02.005,PERSONAL KOMPUTER LAIN-LAIN,2,,,,2016,,,,,PEMBELIAN,"34,810.81",KOMPUTER EDITING
75,02.06.03.03.012,HARD DISK,0002 s/d 0003,,,,2016,,,,,PEMBELIAN,"2,150.00",
76,02.06.03.03.012,HARD DISK,4,,,,2016,,,,,PEMBELIAN,650,
77,02.06.03.04.008,PRINTER,1,,,,2016,,,,,PEMBELIAN,"9,845.00",
78,02.06.03.04.008,PRINTER,2,,,,2016,,,,,PEMBELIAN,"9,845.00",
79,02.07.01.01.001,CAMERA + ATTACHMENT,1,,,,2016,,,,,PEMBELIAN,"4,950.00",
80,02.07.01.01.001,CAMERA + ATTACHMENT,2,,,,2016,,,,,PEMBELIAN,"15,779.00",
81,02.07.01.01.001,CAMERA + ATTACHMENT,'0003,,,,2016,,,,,PEMBELIAN,"15,779.00",
82,02.07.01.01.029,EQUALIZER,1,,,,2016,,,,,PEMBELIAN,"9,998.45",
83,02.07.02.01.008,SOUND SYSTEM,1,,,,2016,,,,,PEMBELIAN,"9,998.73",
84,02.07.02.01.024,ALAT KOMUNIKASI LAIN-LAIN,1,,,,2016,,,,,HIBAH,"961,975.00","ALAT TIK(ACCU/BATERAI 36 UNIT, INVERTER 2 UNIT, 
KOMPUTER/PC 5 UNIT, PRINTER 2 UNIT, UPS 5 UNIT, STAVOL 1 UNIT, 
PANEL SOLAR SELL40 LEMPENG, TOWER KECIL PENANGKAL PETIR 1 UNIT, 
TV 36 INC 1 UNIT, RECEIVER DAN PARABOLAVENUS 1 UNIT, MEJA KOMPUTER 5 UNIT "
85,02.03.01.05.001,SEPEDA MOTOR,8,YAMAHA/VIXION,150,,2017,MH3RG181DHK347,G3E7E0349000,DH 2639 WF,,PEMBELIAN,"26,525.00","DOMINIKUS MALI, S.Sos DH 2639 WF"
86,02.03.01.05.001,SEPEDA MOTOR,9,YAMAHA/VIXION,150,,2017,MH3RG1810HK365,G3E7E0367408,DH 2640 WF,,PEMBELIAN,"26,525.00",YASINTUS FELIX KESA DH 2640 WF
87,02.03.01.05.001,SEPEDA MOTOR,13,YAMAHA/MIO Z,125,BENSIN,2017,MH3SE889DHJ220944,E3R2E1512872,DH 5194 WF,,PEMBELIAN,"18,800.00","DINESIA GT. KOLO, AMD DH 5194 WF"
88,02.06.01.05.017,MESIN ABSENSI,1,MACHINE DIRECTLY,,,2017,,,,,PEMBELIAN,"4,950.00",
89,02.06.02.01.018,MEJA TAMBAHAN,0001 s/d 0002,,,,2017,,,,,PEMBELIAN,"4,950.00",MEJA PRESENTER UKIR KACA (BELU TV)
90,02.06.02.01.037,MEJA KOMPUTER,1,,,,2017,,,,,PEMBELIAN,"2,365.00",BELU TV
